trip,date,plot,plantID,code,genus,epithet,page,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,canopy,sf,obs,count.,check.ID.,dbh0
4,2/9/16,340X240,131772,HIRMYR,Hirtella,myrmecophila,6,2,simple,alternate,distic,cont,horizontal,2886,10,2228,-10,1924,60,332,385,356,251,227,127,5,5,685,356,1011,1735,33,15,109,524,266,branch,319,183,15.709,15.767,16.227,16.645,16.17,10.628,12.14,12.24,12.096,11.031,,N ,altura da 1 bif na verdade eh de 3.32; apice do ramo termina curvo,,,21
4,2/9/16,340X260,132128,GEIARG,Geissospermum,argenteum,6,1,simple,alternate,distic,rhitmic,horizontal,1925,10,1610,-10,1150,111,165,165,140,97,173,136,11,11,439,217,1011,1746,10,NA,108,432,160,branch,184,90,12.399,13.306,13.68,13.435,12.442,8.8579,8.3541,9.4049,9.117,10.7,,N ,tiers com 4 ramos; arquitetura tipo Theobroma,,,11
4,2/9/16,340X240,131839,PROPIL,Protium,pilosissimum,6,1,odd-pinnate,alternate,both,cont,horizontal,2279,10,1832,-10,1336,193,278,280,245,190,143,70,1.5,3,422,220,1011,1751,216,88,110,472,226,branch,264,130,10.657,10.225,10.528,10.528,10.528,7.4905,7.0011,7.289,7.5337,7.9799,,N ,,,,16
4,5/9/16,380X160,150938,BUCGRA,Buchenavia,grandis,1,1,simple,alternate,spiral,cont,vertical,1776,10,1593,-10,1278,83,272,292,227,96,86,74,10,10,701,273,1035,2124,53,18,109,294,86,branch,104,60,21.292,21.997,22.112,21.105,19.853,14.182,15.434,16.211,18.73,22.199,,N ,,,,12
4,5/9/16,380X140,150646,RINMAC,Rinorea,racemosa,1,1,simple,alternate,distic,cont,horizontal,2523,20,1659,-10,1441,102,199,200,181,106,171,150,5,5,543,157,1035,2118,20,4,112,473,244,branch,287,129,17.478,22.515,25.481,24.171,17.722,9.9642,9.3885,10.713,9.9498,10.727,,N ,,,,14
4,5/9/16,380X140,150656,RINMAC,Rinorea,macrocarpa,1,1,simple,alternate,distic,cont,horizontal,3133,30,2457,-10,2382,26,300,310,237,58,174,128,5,5,607,187,1035,2120,20,6,107,582,266,branch,301,150,7.5187,7.6339,7.1157,7.0581,8.3248,4.0354,4.496,5.043,5.6331,3.9923,,N ,,,,35
4,5/9/16,400X140,160631,ESCGRA,Eschweilera,grandiflora,1,1.5,simple,alternate,distic,cont,horizontal,3050,100,2623,-10,2428,48,284,301,220,79,178,172,4,4,873,417,1035,1819,40,16,116,610,424,branch,490,220,15.621,15.722,16.7,16.542,16.398,12.569,13.519,17.435,16.01,12.008,,N ,,,,17
4,5/9/16,400X140,160561,ERIBIC,Erisma,bicolor,1,1,simple,opposite,cruzada,cont,horizontal,1840,10,1367,-10,1214,52,175,197,139,72,116,53,3,3,721,323,1035,2133,60,18,106,676,422,branch,474,217,21.781,22.213,21.35,21.954,22.156,22.76,21.105,16.096,16.916,14.988,,N ,,,yes,10
4,5/9/16,400X140,160554,GUSELL,Gustavia,elliptica,1,2,simple,alternate,spiral,cont,up-arched,2051,10,1454,-10,969,107,153,184,149,107,113,33,3,3,909,411,1035,2129,19,8,108,353,112,branch,136,71,43.171,46.553,43.689,41.285,41.818,26.013,27.28,25.308,22.213,17.06,,N ,quebrou e rebrotou a 0.8 m (18.89->16.17 diametro),,,12
4,5/9/16,400X140,160573,UNODUC,Unonopsis,duckei,1,1.5,simple,alternate,distic,cont,horizontal,2951,10,2507,-10,1946,60,205,216,159,15,115,231,5,5,863,471,1035,2106,42,20,110,645,351,branch,393,198,50.627,50.022,48.295,49.274,52.843,29.281,9.6044,18.14,21.134,21.177,,N ,altura 1 bif eh na verdade 0.32,,,23
