"sp","hge","aSize"
"Pausandra macropetala",30.2707710423719,13
"Pausandra macropetala",20.509955631625,13
"Pausandra macropetala",22.8311264325203,13
"Pausandra macropetala",23.1200944224162,13
"Pausandra macropetala",25.9036855670727,13
"Pourouma tomentosa",12.9350431528327,20.2
"Pouteria campanulata",21.1737086351367,17
"Pouteria hispida",20.1610854211327,27
"Pouteria resinosa",12.8724531672964,27.1
"Pouteria resinosa",22.5872632359279,27.1
"Pouteria resinosa",5.25863894606191,27.1
"Pouteria resinosa",39.9168770722727,27.1
"Pouteria resinosa",13.4423691572541,27.1
"Pouteria resinosa",4.6282630540633,27.1
"Pouteria reticulata",10.8665491694441,21
"Pouteria reticulata",8.67310055488196,21
"Pouteria reticulata",12.7489569343609,21
"Pouteria reticulata",15.4915712448984,21
"Pouteria reticulata",7.53036085074408,21
"Pouteria reticulata",18.473410642241,21
"Protium decandrum",22.451399728039,18
"Protium decandrum",5.9394422829712,18
"Protium decandrum",10.9294971440055,18
"Protium decandrum",10.4357937248485,18
"Protium decandrum",51.7522403768144,18
"Protium decandrum",37.1282163880329,18
"Protium decandrum",34.2002627222011,18
"Protium hebetatum",16.5511453986913,17
"Protium hebetatum",8.6794766236116,17
"Protium hebetatum",7.01725715625465,17
"Protium hebetatum",22.7708533769928,17
"Protium hebetatum",5.81133514871091,17
"Protium hebetatum",14.1726925969705,17
"Protium hebetatum",9.48195985670672,17
"Protium opacum",12.5420049731534,15.15
"Protium opacum",13.4513011547414,15.15
"Protium opacum",9.31121649820049,15.15
"Protium opacum",7.55474457363223,15.15
"Protium opacum",23.8918297039172,15.15
"Protium opacum",11.7216011225161,15.15
"Protium opacum",11.945780339999,15.15
"Protium paniculatum",22.1436193561698,19.175
"Protium paniculatum",5.57766363720301,19.175
"Protium pilosissimum",5.51875510215219,31.85
"Protium pilosissimum",28.1220425515422,31.85
"Protium pilosissimum",12.9903358187495,31.85
"Protium pilosissimum",13.6565321548812,31.85
"Protium pilosissimum",11.0526012207016,31.85
"Protium pilosissimum",11.2675397348376,31.85
"Protium trifoliolatum",8.63009935068772,13
"Protium trifoliolatum",5.56026066546531,13
"Protium trifoliolatum",8.0369223299941,13
"Protium trifoliolatum",8.35557998881464,13
"Protium trifoliolatum",22.4649857373438,13
"Protium trifoliolatum",2.51773281795979,13
"Rinorea amapensis",11.135916466474,7.6
"Rinorea amapensis",7.23148350368701,7.6
"Rinorea amapensis",7.00494758339654,7.6
"Rinorea amapensis",19.7044520326055,7.6
"Rinorea amapensis",39.7901945334375,7.6
"Rinorea amapensis",13.0942163024487,7.6
"Rinorea guianensis",25.7673024584816,18
"Rinorea guianensis",4.77182346182149,18
"Rinorea guianensis",6.26391950350265,18
"Rinorea guianensis",7.45013952238831,18
"Rinorea guianensis",4.89136536700529,18
"Rinorea guianensis",10.6924742972992,18
"Rinorea guianensis",4.86807042285188,18
"Rinorea macrocarpa",11.3805238410365,10
"Rinorea macrocarpa",16.5500127102178,10
"Rinorea macrocarpa",11.6187639857558,10
"Rinorea macrocarpa",12.232632803709,10
"Rinorea macrocarpa",5.45165108492429,10
"Rinorea racemosa",7.73282287140249,12
"Rinorea racemosa",10.3233936194085,12
"Rinorea racemosa",17.7201144328802,12
"Rinorea racemosa",5.59222554367313,12
"Ryania speciosa",9.40612262810424,10.975
"Ryania speciosa",24.4884321838194,10.975
"Ryania speciosa",12.7548827611911,10.975
"Ryania speciosa",15.9760550982245,10.975
"Ryania speciosa",12.4021233979137,10.975
"Scleronema micranthum",26.3421298447983,26
"Scleronema micranthum",15.4177436080034,26
"Scleronema micranthum",5.00121170698693,26
"Scleronema micranthum",5.86018216632879,26
"Scleronema micranthum",5.67794171524502,26
"Scleronema micranthum",10.7365505946763,26
"Siparuna cuspidata",15.5091773349276,10.975
"Siparuna cuspidata",12.4050660874588,10.975
"Siparuna cuspidata",5.89395038871269,10.975
"Siparuna cuspidata",9.13701681560734,10.975
"Siparuna cuspidata",16.4834601790919,10.975
"Siparuna cuspidata",8.78799964926061,10.975
"Siparuna decipiens",28.7768097734521,14
"Siparuna decipiens",8.66896665641971,14
"Siparuna decipiens",7.48615376378243,14
"Siparuna decipiens",8.79801472207279,14
"Siparuna decipiens",25.821029045749,14
"Siparuna decipiens",15.9792016797701,14
"Sloanea floribunda",5.05480241430224,22
"Sorocea muriculata",8.36042038852914,12.9
"Sorocea muriculata",11.6770074924563,12.9
"Sorocea muriculata",18.9936184576904,12.9
"Sorocea muriculata",9.69000587384601,12.9
"Sorocea muriculata",7.36480936563191,12.9
"Sorocea muriculata",2.6587769153736,12.9
"Symphonia globulifera",5.29762561626109,20
"Tabernaemontana muricata",21.7971222716894,7
"Tabernaemontana muricata",21.9674041627434,7
"Tabernaemontana muricata",26.619744916878,7
"Tabernaemontana muricata",39.7701272779031,7
"Tabernaemontana muricata",6.07363059570189,7
"Tabernaemontana muricata",17.8232935601138,7
"Tapura guianensis",3.281697900557,11.875
"Tapura guianensis",5.08883540661416,11.875
"Tapura guianensis",5.72068742759452,11.875
"Tapura guianensis",4.74744326610669,11.875
"Tapura guianensis",10.0009790060056,11.875
"Tapura guianensis",4.51104266658779,11.875
"Theobroma sylvestre",20.8124838622894,13
"Theobroma sylvestre",10.4471124670408,13
"Theobroma sylvestre",11.2872429830802,13
